National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2017-1199720,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.5 miles east of Boddeker Rd. at Big Reef on East Beach,29.3361,estimate,-94.7319,estimate,,N,,,,,,N,Y,9/26/2017,2017,SEP,26,Beach or Land,Alive,9/26/2017,2017,SEP,26,Alive,,,,,Y,,Y,,,,,,,,,MALE,SUBADULT,215,cm,actual,,,,Y,,,Y,,,,,Y,complete,fresh,9/26/2017
SE-2017-1195382,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,1.5 miles west of Rollover Pass,29.50601,actual,-94.50351,actual,N,CBD,N,N,N,N,,N,CBD,1/6/2017,2017,JAN,6,Beach or Land,Alive,1/6/2017,2017,JAN,6,Alive,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,MALE,YEARLING,198.5,cm,actual,,,,Y,N,N,Y,N,N,N,N,Y,complete,fresh,1/7/2017
SE-2017-1195590,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.01 miles east of Galveston Pleasure Pier,29.28809,actual,-94.78984,actual,N,N,N,N,N,N,,N,N,3/16/2017,2017,MAR,16,,Alive,3/16/2017,2017,MAR,16,Fresh Dead,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,MALE,YEARLING,192,cm,actual,,,,Y,N,N,N,N,N,Y,N,NA,,,
SE-2018-1207064,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Near Bolivar Peninsula ferry landing,29.36334,actual,-94.77936,actual,,Y,N,N,Y,N,,Y,Y,11/3/2018,2018,NOV,3,Swimming,Alive,11/3/2018,2018,NOV,3,Fresh Dead,,,,,,Y,,Y,,,,,,,,FEMALE,ADULT,255,cm,actual,,,notMeasured,Y,,,,,,Y,,Y,complete,frozen,12/29/2018
SE-2017-1195571,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"30 meters west of Buccaneer Drive, Jamaica Beach",29.1814,actual,-94.9719,actual,N,CBD,N,N,N,N,,N,CBD,2/23/2017,2017,FEB,23,Beach or Land,Alive,2/23/2017,2017,FEB,23,Fresh Dead,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,241,cm,actual,,,,Y,N,N,Y,N,N,N,N,Y,complete,fresh,2/23/2017
SE-2019-1209714,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Crystal Beach, 1.1 mile southwest of Magnolia Street at barrel 12",29.396327,actual,-94.712977,actual,,N,,,,,,N,Y,3/28/2019,2019,MAR,28,Beach or Land,Alive,3/28/2019,2019,MAR,28,Alive,,,,,,,Y,,,,,,,,,FEMALE,YEARLING,175,cm,actual,151,lb,actual,Y,,,Y,,,,,Y,complete,fresh,4/4/2019
SE-2018-1202454,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,High Island and highway 124 and highway 87 intersection/curve,29.549023,estimate,-94.388791,estimate,,Y,,,,Y,Animal pushed out by the public,N,Y,4/5/2018,2018,APR,5,Beach or Land,Alive,,,,,,,,,,,,,,,,,,,,Y,UNKNOWN,ADULT,225,cm,estimate,,,,Y,,,,,,,,N,,,
SE-2017-1197107,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Galveston ship channel between seawolf park and galveston yacht basin,29.3233,actual,-94.7797,actual,N,Y,N,N,N,Y,blue rope wrapped around dorsal fin and dragging behind animal,N,CBD,6/30/2017,2017,JUN,30,Swimming,Alive,,,,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,SUBADULT,213,cm,estimate,,,,Y,N,N,N,N,N,N,N,NA,,,
SE-2018-1207054,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.4 miles west of 13 Mile Road in Galveston State Park,29.1921,actual,-94.95422,actual,,Y,C,N,Y,N,,N,,11/29/2018,2018,NOV,29,Beach or Land,Fresh Dead,11/29/2018,2018,NOV,29,Fresh Dead,,,,,,,,,,,,,,,,MALE,ADULT,262,cm,actual,,,notMeasured,Y,Y,Y,,,,,,Y,limited,fresh,11/29/2018
SE-2017-1195602,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,200 meters west of 2nd Street,29.1231,estimate,-95.066,estimate,N,CBD,N,N,N,N,,N,CBD,4/29/2017,2017,APR,29,Beach or Land,Fresh Dead,4/29/2017,2017,APR,29,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,210,cm,actual,,,,Y,N,N,N,N,N,Y,N,NA,,,
SE-2017-1199497,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,2.4 miles east of Rollover Pass,29.53871,actual,-94.41737,actual,,N,,,,,,N,N,12/20/2017,2017,DEC,20,Beach or Land,Fresh Dead,12/21/2017,2017,DEC,21,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,208,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,12/21/2017
SE-2018-1199781,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Barrel 90 Crystal Beach,29.4635,actual,-94.6064,actual,,CBD,,,,,,N,Y,1/25/2018,2018,JAN,25,Beach or Land,Fresh Dead,1/25/2018,2018,JAN,25,Fresh Dead,,,,,,,,,,,,,,,,MALE,YEARLING,170,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,1/26/2018
SE-2018-1207025,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,Bay side of Pelican Island,29.32675,actual,-94.82706,actual,,Y,N,N,N,Y,Incidental take,N,N,7/2/2018,2018,JUL,2,Floating,Fresh Dead,7/2/2018,2018,JUL,2,Fresh Dead,,,,,,,,,,,,,,,,MALE,YEARLING,170,cm,actual,,,notMeasured,Y,,,Y,,,,,Y,complete,fresh,7/2/2018
SE-2017-1195601,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.1 miles west of Clara Street, Barrel 87, Crystal Beach",29.46121,actual,-94.61166,actual,N,CBD,N,N,N,N,,N,CBD,4/17/2017,2017,APR,17,Beach or Land,Fresh Dead,4/17/2017,2017,APR,17,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,120,cm,actual,,,,Y,N,N,N,N,N,Y,N,NA,,,
SE-2017-1195596,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,1 mile east of Rollover Pass at Faggards Road,29.5126,actual,-94.4861,actual,N,CBD,N,N,N,N,,N,CBD,3/26/2017,2017,MAR,26,Beach or Land,Fresh Dead,3/27/2017,2017,MAR,27,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,103,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,3/27/2017
SE-2017-1195597,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.1 miles east of 7 1/2 mile road,29.23892,actual,-94.8755,actual,N,CBD,N,N,N,N,,N,Y,4/10/2017,2017,APR,10,Beach or Land,Fresh Dead,4/11/2017,2017,APR,11,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,119,cm,actual,,,,Y,N,N,Y,N,N,N,N,Y,complete,fresh,4/11/2017
SE-2018-1202446,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Lazy Ln. Crystal Beach, Barrel 58",29.44059,actual,-94.65377,actual,,N,,,,,,N,N,3/17/2018,2018,MAR,17,Beach or Land,Fresh Dead,3/17/2018,2018,MAR,17,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,102,cm,actual,,,,Y,,Y,,,,,,Y,complete,fresh,3/17/2018
SE-2019-1208937,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Crystal Beach, Bolivar Peninsula, 0.1 mile east of East Road",29.43886,actual,-94.65707,actual,,CBD,,,,,,N,CBD,3/8/2019,2019,MAR,8,Beach or Land,Fresh Dead,3/8/2019,2019,MAR,8,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,102,cm,actual,,,notMeasured,Y,,Y,,,,,,N,,,
SE-2017-1195381,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,25 yards east of San Jacinto Drive beach entrance on west end of Galveston Island,29.14052,actual,-95.0387,actual,N,N,N,N,N,N,,N,N,1/4/2017,2017,JAN,4,Beach or Land,Fresh Dead,1/4/2017,2017,JAN,4,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,75,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,1/4/2017
SE-2019-1208934,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,150 feet east of 2nd Street beach entrance,29.12368,actual,-95.06476,actual,,N,,,,,,N,Y,2/27/2019,2019,FEB,27,Beach or Land,Fresh Dead,2/27/2019,2019,FEB,27,Fresh Dead,,,,,,,,,,,,,,,,MALE,PUP/CALF,106,cm,actual,,,notMeasured,Y,,Y,,,,,,Y,limited,fresh,2/27/2019
SE-2017-1195593,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.01 miles east of 11 Mile Road,29.2091,actual,-94.9258,actual,N,CBD,N,N,N,N,,N,CBD,3/17/2017,2017,MAR,17,Beach or Land,Fresh Dead,3/17/2017,2017,MAR,17,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,FEMALE,ADULT,249,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,3/17/2017
SE-2018-1202458,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"1.18 miles east of Stewart Beach eastern boundary line, Galvestonian condos",29.316856,actual,-94.748268,actual,,N,,,,,,N,Y,5/3/2018,2018,MAY,3,Beach or Land,Fresh Dead,5/3/2018,2018,MAY,3,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,ADULT,243,cm,actual,,,notMeasured,Y,,,Y,,,,,Y,complete,fresh,5/3/2018
SE-2018-1207034,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,Seawall and 76th Street,29.25839,actual,-94.84019,actual,,N,,,,,,N,Y,11/23/2018,2018,NOV,23,Beach or Land,Fresh Dead,11/23/2018,2018,NOV,23,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,ADULT,245,cm,actual,,,notMeasured,Y,,Y,,Y,,,,Y,limited,fresh,11/23/2018
SE-2017-1199471,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Rollover Pass, 0.1 miles west of N Bauer Ln",29.5061,actual,-94.5026,actual,,N,,,,,,N,CBD,11/5/2017,2017,NOV,5,Beach or Land,Fresh Dead,11/6/2017,2017,NOV,6,Moderate Decomposition,,,,,,,,,,,,,,,,FEMALE,SUBADULT,215,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,11/6/2017
SE-2018-1207055,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.25 miles west of Boyt Road, Crystal Beach barrel 27",29.4125,actual,-94.6966,actual,,N,,,,,,N,N,12/12/2018,2018,DEC,12,Beach or Land,Fresh Dead,12/12/2018,2018,DEC,12,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,YEARLING,197,cm,actual,,,notMeasured,Y,,,Y,,,,,Y,complete,fresh,12/12/2018
SE-2018-1207057,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,"Pelican Island, 0.25 miles west of Seawolf Park",29.33499,actual,-94.78541,actual,,N,,,,,,N,Y,12/24/2018,2018,DEC,24,Beach or Land,Fresh Dead,12/24/2018,2018,DEC,24,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,YEARLING,189,cm,actual,,,notMeasured,Y,Y,,,,,,,Y,limited,fresh,12/24/2018
SE-2017-1199490,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,,57th and Seawall,29.2683,actual,-94.8222,actual,,N,,,,,,N,Y,11/28/2017,2017,NOV,28,Beach or Land,Fresh Dead,11/28/2017,2017,NOV,28,Fresh Dead,,,,,,,,,,,,,,,,FEMALE,YEARLING,198,cm,actual,,,,Y,,,Y,,,,,Y,complete,fresh,11/28/2017
SE-2017-1195543,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.10 miles west of Palisade Palms Condominiums at 801 East Beach Drive,29.3155,actual,-94.7514,actual,N,CBD,N,N,N,N,,N,CBD,2/10/2017,2017,FEB,10,Beach or Land,Moderate Decomposition,2/10/2017,2017,FEB,10,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,244,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,2/10/2017
SE-2017-1199476,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Sandbar north of big reef east beach, east of boddeker drive along ship channel",29.33388,actual,-94.74194,actual,,CBD,,,,,,N,CBD,11/24/2017,2017,NOV,24,Beach or Land,Moderate Decomposition,11/24/2017,2017,NOV,24,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,265,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,11/29/2017
SE-2017-1195594,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.6 miles west of Rettilon Rd.,29.3738,actual,-94.7269,actual,N,CBD,N,N,N,N,,N,CBD,3/17/2017,2017,MAR,17,Beach or Land,Moderate Decomposition,3/17/2017,2017,MAR,17,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,242,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2018-1207035,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Pirates Beach - 0.3 miles northeast of 13 Mile Road,29.197831,estimate,-94.943969,estimate,,Y,N,N,Y,N,,N,CBD,11/28/2018,2018,NOV,28,Beach or Land,Moderate Decomposition,11/28/2018,2018,NOV,28,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,249,cm,actual,,,notMeasured,Y,Y,Y,,,,,,Y,limited,fresh,11/28/2018
SE-2017-1195377,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"1402 Highway 187, Barrel G8",29.50019,actual,-94.51809,actual,N,CBD,N,N,N,N,,N,CBD,1/2/2017,2017,JAN,2,Beach or Land,Moderate Decomposition,1/2/2017,2017,JAN,2,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,269,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2017-1197105,"Dolphin, bottlenose",Tursiops,truncatus,SE,Seabrook,Galveston,TX,Gulf of Mexico,0.2 miles east of 409 Baywood Dr,29.5944,actual,-94.9883,actual,N,CBD,N,N,N,N,,N,CBD,6/12/2017,2017,JUN,12,Beach or Land,Moderate Decomposition,6/13/2017,2017,JUN,13,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,247,cm,actual,,,,Y,Y,N,N,N,N,N,N,Y,limited,fresh,6/13/2017
SE-2017-1195378,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,"Stewart Beach Park, 0.10 miles southeast of 517 Seawall Blvd.",29.30326,actual,-94.77062,actual,N,Y,N,N,N,Y,marine debris,Y,CBD,1/2/2017,2017,JAN,2,Beach or Land,Moderate Decomposition,1/2/2017,2017,JAN,2,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,ADULT,240,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2018-1207056,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,"East Beach, 500 yards west of Palisade Palms",29.31,actual,-94.75972,actual,,CBD,,,,,,N,CBD,12/12/2018,2018,DEC,12,Beach or Land,Moderate Decomposition,12/12/2018,2018,DEC,12,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,236,cm,actual,,,notMeasured,Y,Y,Y,,,,,,N,,,
SE-2019-1209752,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,"Boddecker Road, 0.3 miles east of Seawall Boulevard",29.33394,actual,-94.743,actual,,CBD,,,,,,N,CBD,4/5/2019,2019,APR,5,Beach or Land,Moderate Decomposition,4/6/2019,2019,APR,6,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,ADULT,250,cm,actual,,,notMeasured,Y,Y,Y,,,,,,N,,,
SE-2019-1209664,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Floating approximately 75 yards west of Jimmy's on the Pier, approximately 100 yards from shore, moving west",29.249714,estimate,-94.85345,estimate,,CBD,,,,,,N,N,3/20/2019,2019,MAR,20,Floating,Moderate Decomposition,3/22/2019,2019,MAR,22,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,209,cm,actual,,,notMeasured,Y,,Y,,Y,,,,N,,,
SE-2019-1209657,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Jamaica Beach approximately 20 yards west of beach access 25,29.144655,actual,-95.03307,actual,,Y,C,N,C,N,,N,CBD,3/13/2019,2019,MAR,13,Beach or Land,Moderate Decomposition,3/13/2019,2019,MAR,13,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,205,cm,actual,,,notMeasured,Y,,Y,,,,,,N,,,
SE-2017-1199489,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Between 8 mile road and pocket park 2,29.2301,actual,-94.8902,actual,,CBD,,,,,,N,CBD,11/27/2017,2017,NOV,27,Beach or Land,Moderate Decomposition,11/27/2017,2017,NOV,27,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,215,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,11/28/2017
SE-2019-1208941,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Crystal Beach, Bolivar Peninsula, 75 feet west of Holiday Drive",29.44194,actual,-94.6516,actual,,CBD,,,,,,N,Y,3/12/2019,2019,MAR,12,Beach or Land,Moderate Decomposition,3/12/2019,2019,MAR,12,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,205,cm,actual,,,notMeasured,Y,,Y,,,,,,Y,complete,fresh,3/12/2019
SE-2017-1199492,"Dolphin, bottlenose",Tursiops,truncatus,SE,Kemah,Galveston,TX,Gulf of Mexico,300 feet south of 2105 Park Avenue,29.5287,actual,-95.0055,actual,,CBD,,,,,,N,CBD,12/2/2017,2017,DEC,2,Beach or Land,Moderate Decomposition,12/2/2017,2017,DEC,2,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,200,cm,actual,,,,Y,Y,,,,,,,N,limited,fresh,
SE-2019-1208126,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,0.1 mile west of 89th Street and Seawall Boulevard,29.25038,actual,-94.8539,actual,,CBD,,,,,,N,CBD,2/5/2019,2019,FEB,5,Floating,Moderate Decomposition,2/5/2019,2019,FEB,5,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,220,cm,actual,,,notMeasured,Y,Y,,,,,,,N,,,
SE-2019-1219610,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,"Galveston Ship Channel, 0.12 miles east of Pelican Island Bridge",29.311466,estimate,-94.82094,estimate,,CBD,,,,,,N,CBD,11/21/2019,2019,NOV,21,Floating,Moderate Decomposition,11/24/2019,2019,NOV,24,Advanced Decomposition,,,,,,,,,,,,,,,,MALE,SUBADULT,217,cm,actual,,,notMeasured,Y,Y,,,,,,,N,,,
SE-2018-1207026,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,1.1 miles west of 13 Mile Road on Galveston Island State Park,29.185215,actual,-94.965343,actual,,Y,C,C,Y,N,,Y,CBD,8/10/2018,2018,AUG,10,Beach or Land,Moderate Decomposition,8/10/2018,2018,AUG,10,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,YEARLING,186,cm,actual,,,notMeasured,Y,Y,Y,,,,,,Y,limited,fresh,8/10/2018
SE-2018-1202427,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,Pabst Rd.,29.21638,actual,-94.91346,actual,,N,,,,,,N,N,2/24/2018,2018,FEB,24,Beach or Land,Moderate Decomposition,2/24/2018,2018,FEB,24,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,YEARLING,168,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,2/24/2018
SE-2017-1195555,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.1 miles northeast of Big Reef, East End Galveston Island",29.3361,actual,-94.73,actual,N,CBD,N,N,N,N,,N,CBD,2/19/2017,2017,FEB,19,Beach or Land,Moderate Decomposition,2/19/2017,2017,FEB,19,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,YEARLING,172,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,2/19/2017
SE-2017-1195547,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.1 miles west of Retillon Rd.,29.3873,actual,-94.7235,actual,N,CBD,N,N,N,N,,N,CBD,2/11/2017,2017,FEB,11,Beach or Land,Moderate Decomposition,2/12/2017,2017,FEB,12,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,YEARLING,157,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2017-1195532,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,40 yards east of jetty at bolivar ferry landing,29.3616,actual,-94.7775,actual,N,CBD,N,N,N,N,,N,CBD,1/31/2017,2017,JAN,31,Beach or Land,Moderate Decomposition,2/1/2017,2017,FEB,1,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,107,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2017-1195554,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.10 miles west of 7 1/2 mile road near Woodys Bar,29.2369,actual,-94.8787,actual,N,CBD,N,N,N,N,,N,CBD,2/19/2017,2017,FEB,19,Beach or Land,Moderate Decomposition,2/19/2017,2017,FEB,19,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,102,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,2/19/2017
SE-2018-1202349,"Dolphin, bottlenose",Tursiops,truncatus,SE,Galveston,Galveston,TX,Gulf of Mexico,Beachtown subdivision on east beach,29.31927,actual,-94.74607,actual,,CBD,,,,,,N,CBD,2/19/2018,2018,FEB,19,Beach or Land,Moderate Decomposition,2/19/2018,2018,FEB,19,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,101,cm,actual,,,,Y,,Y,,,,,,N,,,
SE-2019-1209660,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"Bolivar Peninsula, 0.2 miles west of Rettilon Road at barrel number B11",29.37992,actual,-94.7244,actual,,CBD,,,,,,N,N,3/18/2019,2019,MAR,18,Beach or Land,Moderate Decomposition,3/18/2019,2019,MAR,18,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,103,cm,actual,,,notMeasured,Y,,Y,,,,,,N,,,
SE-2017-1195581,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.6 miles west of 13 mile rd., State Park",29.1904,actual,-94.957,actual,N,CBD,N,N,N,N,,N,CBD,3/6/2017,2017,MAR,6,Beach or Land,Moderate Decomposition,3/6/2017,2017,MAR,6,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,99,cm,actual,,,,Y,N,Y,N,N,N,N,N,Y,limited,fresh,3/6/2017
SE-2018-1202444,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.25 miles west of Clara St., Crystal Beach, Barrel 84",29.459646,actual,-94.613809,actual,,N,,,,,,N,N,3/16/2018,2018,MAR,16,Beach or Land,Moderate Decomposition,3/16/2018,2018,MAR,16,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,107,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,3/16/2018
SE-2017-1195539,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,"0.5 miles west of Gulf Blvd., Indian Beach, Galveston Island",29.1662,actual,-94.9976,estimate,N,CBD,N,N,N,N,,N,CBD,2/6/2017,2017,FEB,6,Beach or Land,Moderate Decomposition,2/6/2017,2017,FEB,6,Moderate Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,PUP/CALF,94,cm,actual,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2018-1202346,"Dolphin, bottlenose",Tursiops,truncatus,SE,,Galveston,TX,Gulf of Mexico,0.5 miles west of islander east condos,29.3122,actual,-94.75711,actual,,Y,C,C,C,Y,Straight angular cuts,N,CBD,2/18/2018,2018,FEB,18,Beach or Land,Moderate Decomposition,2/18/2018,2018,FEB,18,Moderate Decomposition,,,,,,,,,,,,,,,,MALE,PUP/CALF,99,cm,actual,,,,Y,,Y,,,,,,Y,limited,fresh,2/18/2018
