National Database Number,Common Name,Genus,Species,Region,City - from strandings table,County,State,Body of Water,Locality Detail,Latitude,Latitude Actual/Estimate,Longitude,Longitude Actual/Estimate,Restrand,Findings of Human Interaction,Boat Collision,Shot,Fishery Interaction,Other Human Interaction,Other Human Int Description,Gear Collection Flag,Other Findings upon Level Y/N,Observation Date,Year of Observation,Month of Observation,Day of Observation,How Observed,Observation Status,Date of Examination,Year of Examination,Month of Examination,Day of Examination,Condition at Examination,Left at Site,Immediate Release at Site,Relocated Flag,Disentangled Flag,Euthanized at Site Flag,Died at Site Flag,Sick Flag,Injured Flag,Out of Habitat Flag,Deemed Healthy/Releasable Flag,Abandoned/Orphaned Flag,Inaccesible Flag,Location Hazardous to Animal,Location Hazardous Public,Unknown/CBD Flag,Sex,Age Class,Length,Length Units,Length actual/estimate,Weight,Weight Units,Weight actual/estimate,Photos/Videos Taken,Carcass Left at Site Flag,Carcass Buried Flag,Carcass Rendered Flag,Carcass Towed Flag,Carcass Sunk Flag,Carcass Frozen for Later Exam,Carcass Landfill Flag,Necropsied Flag,Necropsy Limited Flag,Necropy Carcass Fresh/Frozen,Date of Necropsy
SE-2018-1204468,"Dolphin, bottlenose",Tursiops,truncatus,SE,Mon Louis,Mobile,AL,Gulf of Mexico,floating near mon louis island,30.419533,actual,-88.096067,actual,N,CBD,C,C,C,N,,N,CBD,8/26/2018,2018,AUG,26,Floating,Moderate Decomposition,,,,,,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,UNKNOWN,0,cm,notMeasured,,,,Y,N,N,N,N,N,N,N,N,,,
SE-2017-1193761,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,On beach near Spanish Court beach,30.249167,actual,-88.1785,actual,N,CBD,N,N,N,N,,N,CBD,1/22/2017,2017,JAN,22,Beach or Land,Advanced Decomposition,1/23/2017,2017,JAN,23,Advanced Decomposition,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,177,cm,estimate,,,,Y,N,Y,N,N,N,N,N,N,,,
SE-2019-1220483,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"West end of Dauphin Island, approx. 300 yards from the end of the island",30.22993,actual,-88.32935,actual,N,CBD,C,C,C,,,N,CBD,12/4/2019,2019,DEC,4,Beach or Land,Advanced Decomposition,12/5/2019,2019,DEC,5,Advanced Decomposition,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,183,cm,actual,,,notMeasured,Y,Y,N,N,N,N,N,N,N,,,
SE-2018-1203993,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,Carcass on beach 7 miles west of the West End Beach parking lot on Dauphin Island,30.230067,actual,-88.296287,actual,N,CBD,C,C,C,N,,N,CBD,7/4/2018,2018,JUL,4,Beach or Land,Advanced Decomposition,7/5/2018,2018,JUL,5,Advanced Decomposition,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,146,cm,estimate,,,,Y,Y,Y,N,N,N,N,N,Y,limited,fresh,7/5/2018
SE-2018-1201084,"Dolphin, bottlenose",Tursiops,truncatus,SE,Dauphin Island,Mobile,AL,Gulf of Mexico,"carcass was found beached on the rocks 1.5km north of cedar point pier, near mile marker five just off dauphin island parkway",30.32544,actual,-88.13534,actual,N,CBD,C,C,C,N,,N,CBD,2/22/2018,2018,FEB,22,Beach or Land,Advanced Decomposition,2/23/2018,2018,FEB,23,Moderate Decomposition,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,UNKNOWN,PUP/CALF,106.5,cm,actual,,,notMeasured,Y,Y,N,N,N,N,N,N,N,,,
SE-2018-1205446,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fairhope,Baldwin,AL,Gulf of Mexico,Fairhope Municipal Pier,30.524722,actual,-87.913889,actual,,CBD,C,C,C,N,,N,CBD,9/17/2018,2018,SEP,17,Swimming,Alive,9/20/2018,2018,SEP,20,Moderate Decomposition,,,,,,,Y,,,,,,,,,MALE,ADULT,241,cm,actual,,,notMeasured,Y,,,Y,,,,,Y,complete,frozen,12/11/2018
SE-2019-1221436,"Dolphin, bottlenose",Tursiops,truncatus,SE,Orange Beach,Baldwin,AL,Gulf of Mexico,Bayou St. John,30.298633,actual,-87.504817,actual,,Y,C,C,C,Y,incidental take,N,CBD,11/5/2019,2019,NOV,5,Swimming,Alive,,,,,,,Y,,Y,,,,,,,,,,,Y,UNKNOWN,SUBADULT,183,cm,estimate,,,notMeasured,N,,,,,,,,N,,,
SE-2018-1205445,"Dolphin, bottlenose",Tursiops,truncatus,SE,Orange Beach,Baldwin,AL,Gulf of Mexico,"Perdido Bay, location entered is the confirmed location on 8/7/18",30.313325,actual,-87.511297,actual,,Y,C,C,Y,N,,N,CBD,7/26/2018,2018,JUL,26,Swimming,Alive,8/8/2018,2018,AUG,8,Alive,Y,,,,,,,Y,,,,,,,,UNKNOWN,PUP/CALF,0,cm,notMeasured,,,,Y,,,,,,,,N,,,
SE-2017-1198029,"Dolphin, bottlenose",Tursiops,truncatus,SE,Fort Morgan,Baldwin,AL,Gulf of Mexico,on the beach half way between Mobile St. and Starfish Lane,30.228563,actual,-87.817499,actual,N,Y,N,N,Y,N,"possible fishery line or net markings on the mandible, leading edges of pectoral fins, and dorsal fin",N,CBD,9/15/2017,2017,SEP,15,Beach or Land,Fresh Dead,9/15/2017,2017,SEP,15,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,190,cm,actual,80.9,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,frozen,12/8/2017
SE-2017-1195218,"Dolphin, bottlenose",Tursiops,truncatus,SE,Gulf Shores,Baldwin,AL,Gulf of Mexico,"In surf, near the bird nesting area of Bon Secour Refuge, approx. 1/4 mi east of Martinique community.",30.2281,actual,-87.85394,actual,N,Y,N,N,Y,N,,N,CBD,4/26/2017,2017,APR,26,Beach or Land,Fresh Dead,4/26/2017,2017,APR,26,Fresh Dead,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,MALE,SUBADULT,176,cm,actual,67,kg,actual,Y,N,N,Y,N,N,N,N,Y,complete,fresh,4/27/2017
